qtr_yr,TICKER,qdate,dpr,roe,roa,GProf,npm,fcf_ocf,cash_debt,cash_lt,ocf_lct,totdebt_invcap,de_ratio,debt_ebitda,intcov_ratio,curr_ratio,cash_ratio,quick_ratio,DIVAMT,change_div,Industry
Q4 2011,KMI,2011-12-31,1.312,0.106,0.088,0.086,0.071,0.493,0.107,0.02,0.522,0.753,6.671,6.559,2.144,0.367,0.098,0.329,0.3,-1,Energy
Q1 2012,KMI,2012-03-31,1.117,0.123,0.091,0.089,0.086,0.475,0.107,0.02,0.625,0.73,6.455,6.251,2.237,0.554,0.108,0.51,0.31,-1,Energy
Q2 2012,KMI,2012-06-30,1.216,0.134,0.105,0.079,0.092,0.387,0.107,0.018,0.514,0.704,4.653,7.014,2.415,0.659,0.107,0.612,0.32,-1,Energy
Q3 2012,KMI,2012-09-30,1.088,0.113,0.095,0.076,0.11,0.351,0.107,0.018,0.51,0.677,3.935,7.066,2.165,0.755,0.119,0.701,0.35,-1,Energy
Q4 2012,KMI,2012-12-31,1.125,0.093,0.09,0.066,0.109,0.277,0.063,0.016,0.537,0.613,3.18,7.687,2.142,0.705,0.137,0.634,0.36,-1,Energy
Q1 2013,KMI,2013-03-31,1.406,0.067,0.086,0.074,0.088,0.245,0.063,0.019,0.505,0.632,3.231,6.967,2.189,0.749,0.142,0.686,0.37,-1,Energy
Q2 2013,KMI,2013-06-30,1.387,0.062,0.077,0.076,0.09,0.271,0.063,0.02,0.56,0.616,3.249,6.581,2.09,0.651,0.147,0.588,0.38,-1,Energy
Q3 2013,KMI,2013-09-30,1.483,0.059,0.079,0.078,0.08,0.206,0.063,0.02,0.594,0.601,3.304,6.349,2.293,0.6,0.149,0.534,0.4,-1,Energy
Q4 2013,KMI,2013-12-31,1.362,0.067,0.081,0.077,0.085,0.171,0.087,0.013,0.669,0.582,3.582,6.244,2.361,0.637,0.098,0.566,0.41,0,Energy
Q1 2014,KMI,2014-03-31,1.408,0.067,0.082,0.08,0.079,0.181,0.087,0.016,0.682,0.587,3.529,6.033,2.392,0.575,0.114,0.509,0.41,-1,Energy
Q2 2014,KMI,2014-06-30,1.437,0.068,0.084,0.083,0.077,0.178,0.087,0.012,0.727,0.586,3.641,5.811,2.515,0.578,0.091,0.509,0.42,-1,Energy
Q3 2014,KMI,2014-09-30,1.411,0.071,0.088,0.087,0.077,0.21,0.087,0.01,0.773,0.587,3.733,5.583,2.661,0.582,0.079,0.51,0.43,-1,Energy
